id,name
1000,"Kavikulguru Kalidas Sanskrit University, Nagpur"
1001,"Karnataka State Law University, Hubli"
1076,"University of Kota, Kota"
1109,"Vardhman Mahaveer Open University, Kota"
1152,"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur"
1153,"Krishna Kanta Handiqui State Open University, Guwahati"
1157,"Krantiguru Shyamji Krishna Verma Kachchh University, Bhuj"
1158,"Kolhan University, Chaibasa"
1159,"Karnataka Veterinary, Animal and Fisheries Sciences University, Bidar"
1160,"Karnataka Folklore University, Shiggavi"
1161,"Kannur University, Kannur"
1162,"Kadi Sarva Vishwavidyalaya, Gandhinagar"
1164,"Karnataka State Open University, Mysore"
1170,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga"
11,"Lingaya's Vidyapeeth, Faridabad"
53,"LNM Institute of Information Technology, Jaipur"
155,"Lovely Professional University, Phagwara"
550,"University of Lucknow, Lucknow"
682,"Late Baliram Kashyap Memorial Government Medical College, Jagdalpur"
778,"Lakshmibai National Institute of Physical Education, Gwalior"
1150,"Lalit Narayan Mithila University, Darbhanga"
1180,"Lala Lajpat Rai University of Veterinary and Animal Sciences, Hisar"
1209,"Late Pandurang Patil Nursing College, Akola"
1370,"Lakulish Yoga University, Ahmedabad"
1549,"Lohia College, Churu"
1558,"Lal Bahadur Shastri Institute of Technology and Management, Indore"
1577,"Lala Mahadev Prasad Verma Balika Mahavidyalaya, Gosainganj"
1655,"LNCT University, Bhopal"
1731,"Lakhotia College of Design, Hyderabad"
1745,"LV Prasad Film and TV Academy, Chennai"
1934,"Late Yadavraodada Deshmukh Law College, Achalpur"
